rho,phi,dphi
47.4462,3.4686744680,-0.0999729684
47.4475,3.4685494259,-0.1000943719
47.4487,3.4684242320,-0.1002159139
47.4500,3.4682988860,-0.1003375945
47.4512,3.4681733879,-0.1004594138
47.4525,3.4680477375,-0.1005813720
47.4538,3.4679219344,-0.1007034693
47.4550,3.4677959787,-0.1008257057
47.4562,3.4676698701,-0.1009480814
47.4575,3.4675436085,-0.1010705965
47.4587,3.4674171936,-0.1011932512
47.4600,3.4672906253,-0.1013160455
47.4613,3.4671639034,-0.1014389797
47.4625,3.4670370278,-0.1015620539
47.4637,3.4669099982,-0.1016852682
47.4650,3.4667828145,-0.1018086227
47.4662,3.4666554766,-0.1019321176
47.4675,3.4665279842,-0.1020557530
47.4688,3.4664003372,-0.1021795290
47.4700,3.4662725353,-0.1023034459
47.4712,3.4661445785,-0.1024275036
47.4725,3.4660164665,-0.1025517024
47.4737,3.4658881992,-0.1026760425
47.4750,3.4657597763,-0.1028005238
47.4762,3.4656311978,-0.1029251466
47.4775,3.4655024634,-0.1030499111
47.4787,3.4653735730,-0.1031748173
47.4800,3.4652445263,-0.1032998653
47.4813,3.4651153232,-0.1034250554
47.4825,3.4649859636,-0.1035503876
47.4837,3.4648564472,-0.1036758622
47.4850,3.4647267739,-0.1038014791
47.4862,3.4645969435,-0.1039272386
47.4875,3.4644669557,-0.1040531409
47.4888,3.4643368105,-0.1041791860
47.4900,3.4642065077,-0.1043053740
47.4912,3.4640760470,-0.1044317052
47.4925,3.4639454284,-0.1045581796
47.4937,3.4638146515,-0.1046847975
47.4950,3.4636837163,-0.1048115589
47.4963,3.4635526226,-0.1049384639
47.4975,3.4634213701,-0.1050655127
47.4987,3.4632899587,-0.1051927055
47.5000,3.4631583883,-0.1053200424
47.5012,3.4630266586,-0.1054475235
47.5025,3.4628947694,-0.1055751490
47.5037,3.4627627206,-0.1057029190
47.5050,3.4626305121,-0.1058308336
47.5062,3.4624981435,-0.1059588930
47.5075,3.4623656148,-0.1060870973
47.5087,3.4622329257,-0.1062154467
47.5100,3.4621000761,-0.1063439412
47.5112,3.4619670658,-0.1064725811
47.5125,3.4618338946,-0.1066013665
47.5137,3.4617005623,-0.1067302975
47.5150,3.4615670688,-0.1068593742
47.5163,3.4614334138,-0.1069885968
47.5175,3.4612995972,-0.1071179655
47.5187,3.4611656188,-0.1072474803
47.5200,3.4610314785,-0.1073771414
47.5212,3.4608971759,-0.1075069490
47.5225,3.4607627110,-0.1076369032
47.5238,3.4606280836,-0.1077670041
47.5250,3.4604932935,-0.1078972518
47.5262,3.4603583404,-0.1080276466
47.5275,3.4602232243,-0.1081581885
47.5287,3.4600879449,-0.1082888777
47.5300,3.4599525020,-0.1084197143
47.5312,3.4598168955,-0.1085506985
47.5325,3.4596811252,-0.1086818304
47.5337,3.4595451909,-0.1088131101
47.5350,3.4594090924,-0.1089445378
47.5362,3.4592728295,-0.1090761137
47.5375,3.4591364020,-0.1092078378
47.5387,3.4589998098,-0.1093397103
47.5400,3.4588630527,-0.1094717314
47.5412,3.4587261304,-0.1096039012
47.5425,3.4585890429,-0.1097362197
47.5438,3.4584517898,-0.1098686873
47.5450,3.4583143711,-0.1100013040
47.5462,3.4581767865,-0.1101340699
47.5475,3.4580390359,-0.1102669852
47.5487,3.4579011190,-0.1104000500
47.5500,3.4577630357,-0.1105332645
47.5513,3.4576247858,-0.1106666289
47.5525,3.4574863690,-0.1108001431
47.5537,3.4573477853,-0.1109338075
47.5550,3.4572090345,-0.1110676221
47.5562,3.4570701162,-0.1112015871
47.5575,3.4569310304,-0.1113357026
47.5588,3.4567917769,-0.1114699688
47.5600,3.4566523554,-0.1116043858
47.5612,3.4565127659,-0.1117389537
47.5625,3.4563730080,-0.1118736727
47.5637,3.4562330816,-0.1120085429
47.5650,3.4560929866,-0.1121435645
47.5662,3.4559527226,-0.1122787377
47.5675,3.4558122897,-0.1124140624
47.5687,3.4556716874,-0.1125495390
47.5700,3.4555309158,-0.1126851675
47.5712,3.4553899744,-0.1128209480
47.5725,3.4552488633,-0.1129568808
47.5737,3.4551075822,-0.1130929660
47.5750,3.4549661308,-0.1132292037
47.5762,3.4548245091,-0.1133655940
47.5775,3.4546827168,-0.1135021371
47.5788,3.4545407537,-0.1136388331
47.5800,3.4543986196,-0.1137756822
47.5812,3.4542563144,-0.1139126845
47.5825,3.4541138379,-0.1140498402
47.5837,3.4539711898,-0.1141871494
47.5850,3.4538283699,-0.1143246122
47.5863,3.4536853782,-0.1144622288
47.5875,3.4535422143,-0.1145999994
47.5887,3.4533988781,-0.1147379240
47.5900,3.4532553694,-0.1148760028
47.5912,3.4531116880,-0.1150142360
47.5925,3.4529678338,-0.1151526237
47.5938,3.4528238064,-0.1152911660
47.5950,3.4526796058,-0.1154298631
47.5962,3.4525352317,-0.1155687152
47.5975,3.4523906839,-0.1157077223
47.5987,3.4522459623,-0.1158468846
47.6000,3.4521010667,-0.1159862023
47.6012,3.4519559968,-0.1161256755
47.6025,3.4518107524,-0.1162653044
47.6037,3.4516653334,-0.1164050890
47.6050,3.4515197396,-0.1165450296
47.6063,3.4513739708,-0.1166851263
47.6075,3.4512280267,-0.1168253791
47.6087,3.4510819073,-0.1169657884
47.6100,3.4509356122,-0.1171063541
47.6112,3.4507891413,-0.1172470765
47.6125,3.4506424944,-0.1173879557
47.6138,3.4504956714,-0.1175289918
47.6150,3.4503486719,-0.1176701851
47.6162,3.4502014958,-0.1178115355
47.6175,3.4500541430,-0.1179530433
47.6187,3.4499066132,-0.1180947087
47.6200,3.4497589062,-0.1182365316
47.6213,3.4496110218,-0.1183785124
47.6225,3.4494629598,-0.1185206512
47.6237,3.4493147201,-0.1186629480
47.6250,3.4491663024,-0.1188054031
47.6262,3.4490177065,-0.1189480166
47.6275,3.4488689323,-0.1190907886
47.6287,3.4487199795,-0.1192337192
47.6300,3.4485708479,-0.1193768087
47.6312,3.4484215374,-0.1195200571
47.6325,3.4482720477,-0.1196634647
47.6337,3.4481223787,-0.1198070314
47.6350,3.4479725300,-0.1199507576
47.6362,3.4478225017,-0.1200946433
47.6375,3.4476722934,-0.1202386887
47.6387,3.4475219049,-0.1203828940
47.6400,3.4473713361,-0.1205272592
47.6413,3.4472205867,-0.1206717845
47.6425,3.4470696565,-0.1208164701
47.6437,3.4469185454,-0.1209613161
47.6450,3.4467672532,-0.1211063227
47.6462,3.4466157796,-0.1212514899
47.6475,3.4464641244,-0.1213968180
47.6488,3.4463122875,-0.1215423071
47.6500,3.4461602686,-0.1216879573
47.6512,3.4460080675,-0.1218337688
47.6525,3.4458556841,-0.1219797417
47.6537,3.4457031181,-0.1221258762
47.6550,3.4455503693,-0.1222721725
47.6562,3.4453974376,-0.1224186305
47.6575,3.4452443227,-0.1225652506
47.6587,3.4450910244,-0.1227120329
47.6600,3.4449375425,-0.1228589774
47.6612,3.4447838769,-0.1230060844
47.6625,3.4446300272,-0.1231533540
47.6637,3.4444759934,-0.1233007863
47.6650,3.4443217752,-0.1234483815
47.6662,3.4441673724,-0.1235961397
47.6675,3.4440127848,-0.1237440611
47.6688,3.4438580122,-0.1238921459
47.6700,3.4437030544,-0.1240403941
47.6712,3.4435479111,-0.1241888059
47.6725,3.4433925823,-0.1243373814
47.6737,3.4432370676,-0.1244861209
47.6750,3.4430813669,-0.1246350244
47.6763,3.4429254800,-0.1247840921
47.6775,3.4427694066,-0.1249333242
47.6787,3.4426131466,-0.1250827208
47.6800,3.4424566997,-0.1252322819
47.6812,3.4423000658,-0.1253820079
